article,head,head_type,type,tail,tail_type
articulo_52.txt,Extinción del contrato,concept,facet of,contrato,concept
articulo_52.txt,extinguirse,concept,facet of,contrato,concept
articulo_52.txt,ineptitud,concept,subclass of,prueba,concept
articulo_52.txt,tiempo de trabajo efectivo,concept,subclass of,tiempo destinado a la formación,concept
articulo_52.txt,extinción,concept,has cause,extinción,concept
articulo_52.txt,prioridad de permanencia,concept,facet of,empresa,concept
articulo_52.txt,Derogada,concept,opposite of,Derogada,concept
articulo_52.txt,contratos por tiempo indefinido,concept,subclass of,contratos por tiempo,concept
articulo_52.txt,artículo 521,concept,part of,artículo 521,concept
articulo_13.txt,Trabajo a distancia,concept,subclass of,Trabajo,concept
articulo_13.txt,trabajador,concept,field of this occupation,actividad laboral,concept
articulo_13.txt,contrato de trabajo,concept,subclass of,contrato,concept
articulo_13.txt,retribución,concept,subclass of,derecho,concept
articulo_13.txt,formación profesional,concept,part of,empleo,concept
articulo_13.txt,Prevención de Riesgos Laborales,concept,facet of,seguridad y salud,concept
articulo_13.txt,representación colectiva,concept,subclass of,derechos de representación,concept
articulo_13.txt,CAPÍTULO II,media,follows,CAPÍTULO I,media
articulo_13.txt,Contenido del contrato de trabajo,concept,part of,contrato de trabajo,concept
articulo_13.txt,Sección 1.a Duración del contrato,concept,part of,contrato,concept
articulo_89.txt,Tramitación,concept,has cause,Tramitación,concept
articulo_89.txt,promoción,concept,part of,convenio colectivo,concept
articulo_89.txt,84,time,follows,83,time
articulo_89.txt,buena fe,concept,part of,negociar,concept
articulo_89.txt,bienes,concept,has cause,violencia,concept
articulo_89.txt,plan de negociación,concept,facet of,negociación,concept
articulo_89.txt,mayoría,concept,subclass of,voto,concept
articulo_89.txt,mediador,concept,part of,deliberaciones,concept
articulo_42.txt,Subcontratación de obras y servicios,concept,subclass of,obras y servicios,concept
articulo_42.txt,Seguridad Social,concept,subsidiary,Tesorería General de la Seguridad Social,concept
articulo_42.txt,subcontratista,concept,subclass of,contratista,concept
articulo_42.txt,subcontratista,concept,subclass of,contratista,concept
articulo_42.txt,contratista,concept,field of this occupation,construcción,concept
articulo_42.txt,Tesorería General,media,part of,Seguridad Social,concept
articulo_42.txt,subcontratista,concept,subclass of,contratista,concept
articulo_42.txt,subcontratista,concept,subclass of,contratista,concept
articulo_42.txt,contrata,concept,has quality,duración,concept
articulo_42.txt,contrata,concept,subclass of,ejecución,concept
articulo_42.txt,contrata,concept,part of,centro de trabajo,concept
articulo_42.txt,subcontrata,concept,part of,centro de trabajo,concept
articulo_42.txt,prevención de riesgos laborales,concept,subclass of,actividades,concept
articulo_42.txt,contratista,concept,opposite of,subcontratista,concept
articulo_42.txt,subcontratista,concept,opposite of,contratista,concept
articulo_42.txt,subcontratista,concept,subclass of,contratista,concept
articulo_42.txt,contratistas,concept,opposite of,subcontratistas,concept
articulo_42.txt,subcontratistas,concept,opposite of,contratistas,concept
articulo_42.txt,reclamaciones,concept,participant,trabajador,concept
articulo_42.txt,contratistas,concept,opposite of,subcontratistas,concept
articulo_42.txt,subcontratistas,concept,opposite of,contratistas,concept
articulo_42.txt,representantes de los trabajadores,concept,subclass of,representación,concept
articulo_85.txt,Contenido,concept,has quality,Contenido,concept
articulo_85.txt,41,concept,follows,40,concept
articulo_85.txt,47,concept,follows,41,concept
articulo_85.txt,51,concept,follows,47,concept
articulo_85.txt,igualdad de trato y de oportunidades entre mujeres y hombres,concept,subclass of,igualdad,concept
articulo_85.txt,despido,concept,part of,negociación colectiva,concept
articulo_85.txt,negociación colectiva,concept,subclass of,negociación,concept
articulo_85.txt,convenios colectivos,concept,subclass of,convenios,concept
articulo_85.txt,negociación colectiva,concept,subclass of,convenios colectivos,concept
articulo_85.txt,libertad de contratación,concept,part of,convenios colectivos,concept
articulo_85.txt,partes,concept,part of,conciertan,concept
articulo_85.txt,temporal,concept,subclass of,Ámbito personal,concept
articulo_85.txt,artículo 82.3,concept,part of,artículo 82.3,media
articulo_85.txt,denuncia,concept,part of,convenio,concept
articulo_85.txt,sistemas no judiciales,concept,subclass of,solución de conflictos,concept
articulo_38.txt,Vacaciones anuales,concept,subclass of,Vacaciones,concept
articulo_38.txt,contrato individual,concept,subclass of,convenio colectivo,concept
articulo_38.txt,vacaciones,concept,part of,convenios colectivos,concept
articulo_38.txt,preferente,concept,subclass of,procedimiento,concept
articulo_38.txt,vacaciones,concept,different from,disfrute,concept
articulo_38.txt,disfrute,concept,different from,vacaciones,concept
articulo_38.txt,parto,concept,has cause,incapacidad temporal,concept
articulo_38.txt,incapacidad temporal,concept,subclass of,vacaciones,concept
articulo_38.txt,CAPÍTULO III,media,follows,CAPÍTULO III,media
articulo_38.txt,"Modificación, suspensión y extinción del contrato de trabajo",concept,facet of,contrato de trabajo,concept
articulo_38.txt,Sección 1.a Movilidad funcional y geográfica,concept,facet of,Movilidad funcional y geográfica,concept
articulo_5.txt,Deberes laborales,concept,facet of,laborales,concept
articulo_5.txt,deberes básicos,concept,subclass of,deberes,concept
articulo_5.txt,buena fe,concept,instance of,reglas,concept
articulo_5.txt,diligencia,concept,instance of,reglas,concept
articulo_5.txt,prevención de riesgos laborales,concept,subclass of,medidas de prevención,concept
articulo_5.txt,facultades directivas,concept,facet of,empresario,concept
articulo_5.txt,empresa,concept,subclass of,actividad,concept
articulo_5.txt,e) Contribuir a la mejora de la productividad,concept,facet of,productividad,concept
articulo_5.txt,contratos de trabajo,concept,part of,Cuantos,concept
articulo_5.txt,Elementos y eficacia del contrato de trabajo,concept,part of,contrato de trabajo,concept
articulo_16.txt,Contrato fijo-discontinuo,concept,opposite of,continuo,concept
articulo_16.txt,continuo,concept,opposite of,Contrato fijo-discontinuo,concept
articulo_16.txt,fijo-discontinuo,concept,subclass of,contrato por tiempo,concept
articulo_16.txt,contrato a tiempo parcial,concept,subclass of,contrato,concept
articulo_16.txt,convenios colectivos,concept,part of,jurisdicción social,concept
articulo_16.txt,distribución horaria,concept,part of,jornada laboral,concept
articulo_16.txt,contratos fijos-discontinuos,concept,subclass of,contratos temporales,concept
articulo_16.txt,deberes derivados del contrato,concept,subclass of,Derechos,concept
articulo_92.txt,Adhesión y extensión,concept,subclass of,extensión,concept
articulo_92.txt,convenio colectivo,concept,part of,negociación,concept
articulo_92.txt,Ministerio de Empleo y Seguridad Social,org,applies to jurisdiction,comunidades autónomas,concept
articulo_92.txt,resolución expresa,concept,subclass of,decisión,concept
articulo_92.txt,procedimiento de extensión,concept,part of,negociación colectiva,concept
articulo_92.txt,Disposición adicional primera,concept,subclass of,Trabajo por cuenta propia,concept
articulo_92.txt,cuenta propia,concept,subclass of,trabajo,concept
articulo_92.txt,Disposición adicional segunda,concept,part of,Contratos para la formación y el aprendizaje,concept
articulo_92.txt,programas públicos de empleo y formación,concept,main regulatory text,Ley de Empleo,concept
articulo_92.txt,maternidad,concept,different from,paternidad,concept
articulo_92.txt,paternidad,concept,different from,maternidad,concept
articulo_92.txt,Derogado,concept,part of,2. (Derogado),concept
articulo_92.txt,Disposición adicional tercera. Negociación colectiva y contrato fijo de obra,concept,part of,Negociación colectiva y contrato fijo de obra,concept
articulo_92.txt,subcontratación,concept,part of,negociación colectiva,concept
articulo_92.txt,Disposición adicional cuarta. Conceptos retributivos,concept,subclass of,retributivos,concept
articulo_92.txt,Ley sobre Infracciones y Sanciones en el Orden Social,concept,replaces,Ley 11/1994,concept
articulo_92.txt,Disposición adicional quinta. Personal de alta dirección,concept,subclass of,Personal de alta dirección,concept
articulo_92.txt,salario,concept,subclass of,retribuciones,concept
articulo_92.txt,Disposición adicional sexta,concept,instance of,Representación institucional,concept
articulo_92.txt,Administraciones Públicas,org,applies to jurisdiction,comunidad autónoma,concept
articulo_92.txt,confederaciones,concept,subclass of,federaciones,concept
articulo_92.txt,más representativas,concept,subclass of,organizaciones empresariales,concept
articulo_92.txt,Disposición adicional séptima,concept,instance of,Regulación de condiciones,concept
articulo_92.txt,Ministerio de Empleo y Seguridad Social,org,part of,Gobierno,org
articulo_92.txt,Disposición adicional octava. Código de Trabajo,media,part of,Código de Trabajo,concept
articulo_92.txt,Ministerio de Empleo y Seguridad Social,org,main regulatory text,Código de Trabajo,media
articulo_92.txt,Código de Trabajo,media,author,Ministerio de Empleo y Seguridad Social,org
articulo_92.txt,Código de Trabajo,media,instance of,disposiciones generales laborales,concept
articulo_92.txt,Comisión Consultiva Nacional de Convenios Colectivos,media,part of,Convenios Colectivos,media
articulo_92.txt,Comisión Consultiva Nacional de Convenios Colectivos,media,part of,Ministerio de Empleo y Seguridad Social,org
articulo_92.txt,convenios colectivos,concept,subclass of,convenio colectivo,concept
articulo_92.txt,Observatorio de la Negociación Colectiva,concept,field of work,negociación colectiva,concept
articulo_92.txt,condiciones de trabajo,concept,part of,convenios colectivos,concept
articulo_92.txt,Comisión Consultiva Nacional de Convenios Colectivos,media,field of work,Convenios Colectivos,concept
articulo_92.txt,Comisión Consultiva Nacional de Convenios Colectivos,media,instance of,autoridad laboral,concept
articulo_92.txt,Comisión Consultiva Nacional de Convenios Colectivos,media,instance of,ley,concept
articulo_92.txt,Ministerio de Empleo y Seguridad Social,org,subsidiary,Comisión Consultiva Nacional de Convenios Colectivos,org
articulo_92.txt,Ministerio de Empleo y Seguridad Social,org,subsidiary,Comisión Consultiva Nacional de Convenios Colectivos,org
articulo_92.txt,edad ordinaria de jubilación,concept,part of,convenios colectivos,concept
articulo_92.txt,edad legal de jubilación,concept,facet of,Seguridad Social,concept
articulo_92.txt,pensión ordinaria de jubilación,concept,part of,Seguridad Social,concept
articulo_92.txt,contratos temporales,concept,subclass of,contrato,concept
articulo_92.txt,capacidad representativa,concept,facet of,organizaciones sindicales,concept
articulo_92.txt,comunidades autónomas,concept,part of,estatal,concept
articulo_92.txt,duodécima,concept,instance of,Disposición adicional,concept
articulo_92.txt,empresario,concept,field of this occupation,organizaciones sindicales,concept
articulo_92.txt,Disposición adicional decimotercera,concept,instance of,Solución no judicial de conflictos,concept
articulo_92.txt,procedimientos no judiciales de solución de conflictos,concept,subclass of,procedimiento,concept
articulo_92.txt,Disposición adicional decimocuarta. Consideración de víctimas del terrorismo a efectos laborales,concept,main subject,terrorismo,concept
articulo_92.txt,"Ley 29/2011, de 22 de septiembre, de Reconocimiento y Protección Integral a las Víctimas del Terrorismo",concept,main subject,"22 de septiembre, de Reconocimiento y Protección Integral a las Víctimas del Terrorismo",concept
articulo_92.txt,obra,concept,part of,contrato,concept
articulo_92.txt,servicio,concept,part of,contrato,concept
articulo_92.txt,organismos públicos vinculados o dependientes,concept,subclass of,Administraciones Públicas,concept
articulo_92.txt,extinción de la relación laboral,concept,facet of,empleo público,concept
articulo_92.txt,contrato de trabajo,concept,subclass of,contrato por obra o servicio determinados,concept
articulo_92.txt,organismos públicos,concept,subclass of,entidades de derecho público,concept
articulo_92.txt,agencias,concept,subclass of,entidades de derecho público,concept
articulo_92.txt,Disposición adicional decimosexta,concept,subclass of,despido,concept
articulo_92.txt,sector público,concept,subclass of,Administraciones Públicas,concept
articulo_92.txt,entes,concept,part of,Administraciones Públicas,concept
articulo_92.txt,organismos,concept,part of,Administraciones Públicas,concept
articulo_92.txt,entidades,concept,part of,Administraciones Públicas,concept
articulo_92.txt,mérito,concept,part of,igualdad,concept
articulo_92.txt,Disposición adicional decimoséptima,concept,instance of,reducción de jornada,concept
articulo_92.txt,Administraciones Públicas,concept,subclass of,organismos públicos,concept
articulo_92.txt,Disposición adicional decimoctava,concept,main subject,conciliación,concept
articulo_92.txt,Ley 36/2011,media,main subject,Reguladora de la Jurisdicción Social,concept
articulo_92.txt,Disposición adicional decimonovena,concept,subclass of,indemnizaciones,concept
articulo_92.txt,reducción de jornada,concept,subclass of,indemnizaciones,concept
articulo_92.txt,segundo párrafo,concept,follows,séptimo párrafo,concept
articulo_92.txt,Disposición adicional vigésima,concept,instance of,Contratos formativos,concept
articulo_92.txt,contratos en prácticas,concept,part of,Seguridad Social,concept
articulo_92.txt,cuotas empresariales,concept,part of,Seguridad Social,concept
articulo_92.txt,contratos para la formación y el aprendizaje,concept,subclass of,contratos,concept
articulo_92.txt,Disposición adicional vigesimoprimera,concept,subclass of,trabajadores excedentes,concept
articulo_92.txt,beneficiarios de prestaciones por desempleo,concept,part of,Seguridad Social,concept
articulo_92.txt,excedencia,concept,subclass of,trabajador,concept
articulo_92.txt,excedencia,concept,subclass of,trabajador,concept
articulo_92.txt,excedencia,concept,subclass of,trabajador,concept
articulo_92.txt,empresario,concept,field of this occupation,empresa,concept
articulo_92.txt,artículo 15,concept,part of,ley,concept
articulo_92.txt,Disposición adicional vigesimosegunda,concept,subclass of,"Permisos de nacimiento, adopción, del progenitor diferente de la madre biológica y lactancia",concept
articulo_92.txt,Ley del Estatuto Básico del Empleado Público,concept,instance of,Real Decreto Legislativo,concept
articulo_92.txt,Disposición transitoria primera,concept,instance of,ley,concept
articulo_92.txt,contratos celebrados antes de la entrada en vigor de esta ley,concept,subclass of,contratos,concept
articulo_92.txt,Disposición transitoria segunda,concept,part of,Contratos para la formación y el aprendizaje,concept
articulo_92.txt,Derogado,concept,taxon rank,1.,concept
articulo_92.txt,contrato para la formación y el aprendizaje,concept,start time,31 de agosto de 2011,date
articulo_92.txt,edad de jubilación,concept,facet of,jubilación,concept
articulo_92.txt,texto refundido de la Ley General de la Seguridad Social,concept,main regulatory text,Ley General de la Seguridad Social,media
articulo_92.txt,Disposición transitoria cuarta,concept,part of,Negociación colectiva,concept
articulo_92.txt,convenios colectivos sectoriales,concept,point in time,19 de septiembre de 2010,date
articulo_92.txt,Disposición transitoria quinta,concept,main subject,Limitación del encadenamiento de modalidades contractuales,concept
articulo_92.txt,contratos de trabajo,concept,start time,18 de junio de 2010,date
articulo_92.txt,Ley 43/2006,media,publication date,15 de junio de 2006,date
articulo_92.txt,contrato,concept,subclass of,contrato,concept
articulo_92.txt,2012,time,follows,2011,time
articulo_92.txt,Disposición transitoria sexta,concept,instance of,Horas complementarias,concept
articulo_92.txt,horas complementarias,concept,end time,22 de diciembre de 2013,date
articulo_92.txt,guarda con fines de adopción o acogimiento,concept,follows,permiso de paternidad,concept
articulo_92.txt,parto,concept,part of,permiso de paternidad,concept
articulo_92.txt,parto,concept,part of,permiso de paternidad,concept
articulo_92.txt,adopción,concept,part of,permiso de paternidad,concept
articulo_92.txt,adopción,concept,part of,permiso de paternidad,concept
articulo_92.txt,guarda con fines de adopción o acogimiento múltiples,concept,part of,permiso de paternidad,concept
articulo_92.txt,guarda con fines de adopción o acogimiento múltiples,concept,part of,permiso de paternidad,concept
articulo_92.txt,adopción,concept,different from,guarda con fines de adopción o acogimiento,concept
articulo_92.txt,guarda con fines de adopción o acogimiento,concept,different from,adopción,concept
articulo_92.txt,guarda con fines de adopción o acogimiento,concept,different from,adopción,concept
articulo_92.txt,guarda con fines de adopción o acogimiento,concept,different from,adopción,concept
articulo_92.txt,adopción,concept,different from,guarda con fines de adopción o acogimiento,concept
articulo_92.txt,adopción,concept,different from,guarda con fines de adopción o acogimiento,concept
articulo_92.txt,guarda con fines de adopción o acogimiento,concept,different from,adopción,concept
articulo_92.txt,guarda con fines de adopción o acogimiento,concept,different from,guarda con fines de adopción o acogimiento,concept
articulo_92.txt,adopción,concept,different from,guarda con fines de adopción o acogimiento,concept
articulo_92.txt,adopción,concept,different from,guarda con fines de adopción o acogimiento,concept
articulo_92.txt,2017,time,point in time,1 de enero de 2017,date
articulo_92.txt,Disposición transitoria octava,concept,main subject,contrato temporal,concept
articulo_92.txt,contrato temporal,concept,subclass of,indemnización,concept
articulo_92.txt,2011,time,end time,31 de diciembre de 2011,date
articulo_92.txt,2012,time,start time,1 de enero de 2012,date
articulo_92.txt,2013,time,point in time,1 de enero de 2013,date
articulo_92.txt,2014,time,start time,1 de enero de 2014,date
articulo_92.txt,2015,time,point in time,1 de enero de 2015,date
articulo_92.txt,extinciones,concept,opposite of,extinción,concept
articulo_92.txt,extinción,concept,opposite of,extinciones,concept
articulo_92.txt,edad ordinaria de jubilación,concept,part of,convenios colectivos,concept
articulo_92.txt,(Derogado),concept,has cause,Derogado,concept
articulo_92.txt,Disposición transitoria décima,concept,main subject,regulación de empleo,concept
articulo_92.txt,regulación de empleo para la extinción o suspensión de los contratos de trabajo o para la reducción de jornada,concept,start time,12 de febrero de 2012,date
articulo_92.txt,regulación de empleo,concept,start time,12 de febrero de 2012,date
articulo_92.txt,Disposición transitoria undécima,concept,follows,undécima,concept
articulo_92.txt,artículo 56.1,concept,publication date,12 de febrero de 2012,date
articulo_92.txt,indemnización por despido improcedente de los contratos formalizados con anterioridad al 12 de febrero de 2012,concept,start time,12 de febrero de 2012,date
articulo_92.txt,indemnización por despido improcedente de los contratos formalizados con anterioridad al 12 de febrero de 2012,concept,start time,12 de febrero de 2012,date
articulo_92.txt,contratos de fomento de la contratación indefinida,concept,start time,12 de febrero de 2012,date
articulo_92.txt,despido improcedente,concept,subclass of,despido disciplinario,concept
articulo_92.txt,Disposición transitoria duodécima,concept,instance of,Salarios de tramitación,concept
articulo_92.txt,expedientes de reclamación al Estado de salarios,concept,start time,15 de julio de 2012,date
